starttime	seconds	ctime	dtime	ttime	wait
Tue Sep 08 10:07:56 2015	1441687076	2	18	20	18
Tue Sep 08 10:07:55 2015	1441687075	2	18	20	17
Tue Sep 08 10:07:55 2015	1441687075	2	17	20	17
Tue Sep 08 10:07:56 2015	1441687076	3	17	20	16
Tue Sep 08 10:07:58 2015	1441687078	1	19	20	18
Tue Sep 08 10:07:55 2015	1441687075	1	19	20	18
Tue Sep 08 10:07:55 2015	1441687075	1	19	20	18
Tue Sep 08 10:07:55 2015	1441687075	2	19	20	18
Tue Sep 08 10:07:55 2015	1441687075	1	19	20	18
Tue Sep 08 10:07:55 2015	1441687075	1	19	20	18
Tue Sep 08 10:07:55 2015	1441687075	4	16	20	15
Tue Sep 08 10:07:55 2015	1441687075	2	18	20	17
Tue Sep 08 10:07:55 2015	1441687075	2	18	20	18
Tue Sep 08 10:07:56 2015	1441687076	1	19	20	19
Tue Sep 08 10:07:56 2015	1441687076	3	17	20	16
Tue Sep 08 10:07:58 2015	1441687078	1	20	20	19
Tue Sep 08 10:07:58 2015	1441687078	1	19	20	19
Tue Sep 08 10:07:55 2015	1441687075	2	18	20	18
Tue Sep 08 10:07:57 2015	1441687077	1	20	20	19
Tue Sep 08 10:07:55 2015	1441687075	1	20	20	19
Tue Sep 08 10:07:55 2015	1441687075	1	20	20	19
Tue Sep 08 10:07:57 2015	1441687077	1	19	20	19
Tue Sep 08 10:07:58 2015	1441687078	1	20	20	19
Tue Sep 08 10:07:57 2015	1441687077	1	19	20	19
Tue Sep 08 10:07:55 2015	1441687075	1	19	20	19
Tue Sep 08 10:07:58 2015	1441687078	1	20	20	19
Tue Sep 08 10:07:58 2015	1441687078	1	20	20	19
Tue Sep 08 10:07:55 2015	1441687075	2	19	21	18
Tue Sep 08 10:07:55 2015	1441687075	2	19	21	18
Tue Sep 08 10:07:58 2015	1441687078	1	20	21	19
Tue Sep 08 10:07:56 2015	1441687076	4	17	21	17
Tue Sep 08 10:07:58 2015	1441687078	2	19	21	18
Tue Sep 08 10:07:56 2015	1441687076	1	20	21	20
Tue Sep 08 10:07:55 2015	1441687075	1	20	21	19
Tue Sep 08 10:07:58 2015	1441687078	1	20	21	19
Tue Sep 08 10:07:55 2015	1441687075	1	20	21	20
Tue Sep 08 10:07:55 2015	1441687075	1	20	21	19
Tue Sep 08 10:07:55 2015	1441687075	3	18	21	16
Tue Sep 08 10:07:58 2015	1441687078	1	20	21	19
Tue Sep 08 10:07:58 2015	1441687078	1	20	21	19
Tue Sep 08 10:07:58 2015	1441687078	2	19	21	18
Tue Sep 08 10:07:55 2015	1441687075	1	20	21	20
Tue Sep 08 10:07:57 2015	1441687077	1	20	21	20
Tue Sep 08 10:07:55 2015	1441687075	1	20	21	19
Tue Sep 08 10:07:55 2015	1441687075	2	19	21	18
Tue Sep 08 10:07:55 2015	1441687075	2	20	21	18
Tue Sep 08 10:07:56 2015	1441687076	2	19	21	19
Tue Sep 08 10:07:55 2015	1441687075	1	20	21	19
Tue Sep 08 10:07:56 2015	1441687076	1	20	21	19
Tue Sep 08 10:07:55 2015	1441687075	1	21	21	20
Tue Sep 08 10:07:57 2015	1441687077	1	20	21	20
Tue Sep 08 10:07:55 2015	1441687075	2	19	21	19
Tue Sep 08 10:07:56 2015	1441687076	1	21	21	20
Tue Sep 08 10:07:55 2015	1441687075	3	19	21	18
Tue Sep 08 10:07:55 2015	1441687075	1	21	22	20
Tue Sep 08 10:07:55 2015	1441687075	1	20	22	20
Tue Sep 08 10:07:57 2015	1441687077	1	21	22	20
Tue Sep 08 10:07:55 2015	1441687075	3	19	22	18
Tue Sep 08 10:07:55 2015	1441687075	2	19	22	19
Tue Sep 08 10:07:57 2015	1441687077	1	21	22	20
Tue Sep 08 10:07:55 2015	1441687075	1	21	22	20
Tue Sep 08 10:07:57 2015	1441687077	1	21	22	20
Tue Sep 08 10:07:55 2015	1441687075	2	20	22	19
Tue Sep 08 10:07:58 2015	1441687078	1	21	22	20
Tue Sep 08 10:07:55 2015	1441687075	3	19	22	19
Tue Sep 08 10:07:55 2015	1441687075	1	21	22	21
Tue Sep 08 10:07:57 2015	1441687077	2	20	22	20
Tue Sep 08 10:07:57 2015	1441687077	1	21	22	20
Tue Sep 08 10:07:55 2015	1441687075	2	20	22	19
Tue Sep 08 10:07:56 2015	1441687076	1	21	22	21
Tue Sep 08 10:07:55 2015	1441687075	1	21	22	21
Tue Sep 08 10:07:58 2015	1441687078	3	19	22	18
Tue Sep 08 10:07:58 2015	1441687078	1	21	22	21
Tue Sep 08 10:07:57 2015	1441687077	1	21	22	21
Tue Sep 08 10:07:58 2015	1441687078	1	22	22	21
Tue Sep 08 10:07:55 2015	1441687075	3	20	22	19
Tue Sep 08 10:07:57 2015	1441687077	1	21	22	21
Tue Sep 08 10:07:58 2015	1441687078	1	22	22	21
Tue Sep 08 10:07:56 2015	1441687076	1	22	22	21
Tue Sep 08 10:07:56 2015	1441687076	1	22	22	21
Tue Sep 08 10:07:56 2015	1441687076	1	21	22	20
Tue Sep 08 10:07:57 2015	1441687077	1	22	22	21
Tue Sep 08 10:07:57 2015	1441687077	1	22	23	21
Tue Sep 08 10:07:57 2015	1441687077	1	22	23	21
Tue Sep 08 10:07:57 2015	1441687077	2	21	23	20
Tue Sep 08 10:07:56 2015	1441687076	1	22	23	21
Tue Sep 08 10:07:56 2015	1441687076	1	22	23	21
Tue Sep 08 10:07:56 2015	1441687076	1	22	23	20
Tue Sep 08 10:07:58 2015	1441687078	2	21	23	20
Tue Sep 08 10:07:56 2015	1441687076	1	22	23	21
Tue Sep 08 10:07:55 2015	1441687075	1	22	23	22
Tue Sep 08 10:07:57 2015	1441687077	2	21	23	20
Tue Sep 08 10:07:58 2015	1441687078	1	22	23	21
Tue Sep 08 10:07:57 2015	1441687077	2	21	23	20
Tue Sep 08 10:07:58 2015	1441687078	1	22	23	21
Tue Sep 08 10:07:56 2015	1441687076	0	22	23	22
Tue Sep 08 10:07:57 2015	1441687077	1	22	23	21
Tue Sep 08 10:07:55 2015	1441687075	2	21	23	21
Tue Sep 08 10:07:55 2015	1441687075	3	20	23	19
Tue Sep 08 10:07:58 2015	1441687078	1	22	23	21
Tue Sep 08 10:07:58 2015	1441687078	3	20	23	19
Tue Sep 08 10:07:58 2015	1441687078	2	21	23	21
Tue Sep 08 10:07:58 2015	1441687078	1	22	23	21
Tue Sep 08 10:07:58 2015	1441687078	1	22	23	21
Tue Sep 08 10:07:57 2015	1441687077	1	22	23	22
Tue Sep 08 10:07:56 2015	1441687076	0	23	23	22
Tue Sep 08 10:07:58 2015	1441687078	3	20	23	20
Tue Sep 08 10:07:56 2015	1441687076	1	23	23	22
Tue Sep 08 10:07:56 2015	1441687076	1	23	23	22
Tue Sep 08 10:07:55 2015	1441687075	3	21	23	20
Tue Sep 08 10:07:56 2015	1441687076	2	21	23	21
Tue Sep 08 10:07:55 2015	1441687075	1	22	23	22
Tue Sep 08 10:07:56 2015	1441687076	1	22	23	21
Tue Sep 08 10:07:56 2015	1441687076	1	23	23	22
Tue Sep 08 10:07:55 2015	1441687075	1	23	23	22
Tue Sep 08 10:07:56 2015	1441687076	0	23	23	22
Tue Sep 08 10:07:56 2015	1441687076	2	22	24	20
Tue Sep 08 10:07:55 2015	1441687075	1	23	24	22
Tue Sep 08 10:07:57 2015	1441687077	1	23	24	22
Tue Sep 08 10:07:58 2015	1441687078	1	22	24	21
Tue Sep 08 10:07:55 2015	1441687075	1	23	24	22
Tue Sep 08 10:07:56 2015	1441687076	2	22	24	21
Tue Sep 08 10:07:57 2015	1441687077	1	23	24	22
Tue Sep 08 10:07:57 2015	1441687077	1	23	24	22
Tue Sep 08 10:07:58 2015	1441687078	2	22	24	22
Tue Sep 08 10:07:56 2015	1441687076	0	23	24	23
Tue Sep 08 10:07:56 2015	1441687076	1	23	24	22
Tue Sep 08 10:07:56 2015	1441687076	2	22	24	21
Tue Sep 08 10:07:57 2015	1441687077	3	21	24	20
Tue Sep 08 10:07:56 2015	1441687076	1	23	24	22
Tue Sep 08 10:07:57 2015	1441687077	2	21	24	21
Tue Sep 08 10:07:57 2015	1441687077	2	22	24	21
Tue Sep 08 10:07:57 2015	1441687077	1	23	24	22
Tue Sep 08 10:07:58 2015	1441687078	0	23	24	23
Tue Sep 08 10:07:57 2015	1441687077	1	23	24	22
Tue Sep 08 10:07:57 2015	1441687077	1	23	24	23
Tue Sep 08 10:07:56 2015	1441687076	2	22	24	22
Tue Sep 08 10:07:56 2015	1441687076	2	22	24	21
Tue Sep 08 10:07:57 2015	1441687077	0	24	24	23
Tue Sep 08 10:07:55 2015	1441687075	3	22	24	21
Tue Sep 08 10:07:58 2015	1441687078	1	23	24	23
Tue Sep 08 10:07:58 2015	1441687078	1	23	24	23
Tue Sep 08 10:07:58 2015	1441687078	1	24	24	23
Tue Sep 08 10:07:57 2015	1441687077	2	22	24	22
Tue Sep 08 10:07:58 2015	1441687078	0	24	24	23
Tue Sep 08 10:07:57 2015	1441687077	2	22	24	21
Tue Sep 08 10:07:57 2015	1441687077	1	24	24	23
Tue Sep 08 10:07:58 2015	1441687078	1	24	24	23
Tue Sep 08 10:07:56 2015	1441687076	1	24	24	23
Tue Sep 08 10:07:57 2015	1441687077	1	24	24	23
Tue Sep 08 10:07:56 2015	1441687076	1	24	25	23
Tue Sep 08 10:07:56 2015	1441687076	1	24	25	23
Tue Sep 08 10:07:55 2015	1441687075	1	24	25	23
Tue Sep 08 10:07:56 2015	1441687076	1	24	25	23
Tue Sep 08 10:07:57 2015	1441687077	2	23	25	22
Tue Sep 08 10:07:58 2015	1441687078	1	24	25	23
Tue Sep 08 10:07:56 2015	1441687076	1	23	25	22
Tue Sep 08 10:07:57 2015	1441687077	3	21	25	21
Tue Sep 08 10:07:56 2015	1441687076	1	24	25	23
Tue Sep 08 10:07:58 2015	1441687078	2	23	25	22
Tue Sep 08 10:07:55 2015	1441687075	1	23	25	23
Tue Sep 08 10:07:57 2015	1441687077	1	24	25	24
Tue Sep 08 10:07:55 2015	1441687075	1	24	25	24
Tue Sep 08 10:07:55 2015	1441687075	1	24	25	23
Tue Sep 08 10:07:57 2015	1441687077	1	24	25	23
Tue Sep 08 10:07:56 2015	1441687076	1	24	25	23
Tue Sep 08 10:07:55 2015	1441687075	3	22	25	21
Tue Sep 08 10:07:55 2015	1441687075	2	23	25	22
Tue Sep 08 10:07:56 2015	1441687076	1	24	25	23
Tue Sep 08 10:07:55 2015	1441687075	1	24	25	23
Tue Sep 08 10:07:56 2015	1441687076	1	24	25	24
Tue Sep 08 10:07:56 2015	1441687076	1	24	25	23
Tue Sep 08 10:07:58 2015	1441687078	1	24	25	24
Tue Sep 08 10:07:56 2015	1441687076	1	25	25	24
Tue Sep 08 10:07:58 2015	1441687078	2	23	25	23
Tue Sep 08 10:07:58 2015	1441687078	1	24	25	24
Tue Sep 08 10:07:58 2015	1441687078	1	24	25	23
Tue Sep 08 10:07:55 2015	1441687075	1	25	25	24
Tue Sep 08 10:07:57 2015	1441687077	3	22	25	22
Tue Sep 08 10:07:58 2015	1441687078	2	24	25	23
Tue Sep 08 10:07:57 2015	1441687077	0	25	25	24
Tue Sep 08 10:07:58 2015	1441687078	1	25	25	24
Tue Sep 08 10:07:57 2015	1441687077	1	24	25	24
Tue Sep 08 10:07:56 2015	1441687076	1	25	25	24
Tue Sep 08 10:07:58 2015	1441687078	1	25	25	24
Tue Sep 08 10:07:55 2015	1441687075	1	24	25	24
Tue Sep 08 10:07:57 2015	1441687077	2	24	25	23
Tue Sep 08 10:07:56 2015	1441687076	3	23	26	22
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	24
Tue Sep 08 10:07:57 2015	1441687077	1	25	26	24
Tue Sep 08 10:07:56 2015	1441687076	1	24	26	24
Tue Sep 08 10:07:55 2015	1441687075	2	23	26	22
Tue Sep 08 10:07:56 2015	1441687076	1	24	26	24
Tue Sep 08 10:07:55 2015	1441687075	0	25	26	24
Tue Sep 08 10:07:56 2015	1441687076	1	25	26	24
Tue Sep 08 10:07:57 2015	1441687077	2	24	26	23
Tue Sep 08 10:07:56 2015	1441687076	1	25	26	24
Tue Sep 08 10:07:56 2015	1441687076	1	25	26	24
Tue Sep 08 10:07:57 2015	1441687077	1	24	26	24
Tue Sep 08 10:07:57 2015	1441687077	2	24	26	23
Tue Sep 08 10:07:57 2015	1441687077	8	18	26	18
Tue Sep 08 10:07:55 2015	1441687075	1	25	26	24
Tue Sep 08 10:07:57 2015	1441687077	1	25	26	24
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	24
Tue Sep 08 10:07:57 2015	1441687077	1	25	26	24
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	24
Tue Sep 08 10:07:56 2015	1441687076	1	25	26	25
Tue Sep 08 10:07:57 2015	1441687077	2	24	26	23
Tue Sep 08 10:07:58 2015	1441687078	0	25	26	25
Tue Sep 08 10:07:57 2015	1441687077	1	25	26	24
Tue Sep 08 10:07:55 2015	1441687075	1	25	26	25
Tue Sep 08 10:07:57 2015	1441687077	1	25	26	24
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	25
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	25
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	25
Tue Sep 08 10:07:56 2015	1441687076	1	25	26	25
Tue Sep 08 10:07:55 2015	1441687075	1	25	26	24
Tue Sep 08 10:07:56 2015	1441687076	1	25	26	25
Tue Sep 08 10:07:55 2015	1441687075	1	25	26	24
Tue Sep 08 10:07:56 2015	1441687076	1	25	26	25
Tue Sep 08 10:07:55 2015	1441687075	1	25	26	24
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	24
Tue Sep 08 10:07:55 2015	1441687075	1	25	26	24
Tue Sep 08 10:07:58 2015	1441687078	2	24	26	24
Tue Sep 08 10:07:55 2015	1441687075	2	24	26	23
Tue Sep 08 10:07:58 2015	1441687078	1	25	26	25
Tue Sep 08 10:07:57 2015	1441687077	1	26	26	24
Tue Sep 08 10:07:56 2015	1441687076	2	24	26	24
