starttime	seconds	ctime	dtime	ttime	wait
Tue Sep 08 10:09:25 2015	1441687165	1	26	28	25
Tue Sep 08 10:09:27 2015	1441687167	1	27	28	26
Tue Sep 08 10:09:27 2015	1441687167	1	26	28	24
Tue Sep 08 10:09:26 2015	1441687166	2	26	28	26
Tue Sep 08 10:09:24 2015	1441687164	1	27	28	27
Tue Sep 08 10:09:26 2015	1441687166	3	25	28	24
Tue Sep 08 10:09:25 2015	1441687165	1	28	28	27
Tue Sep 08 10:09:25 2015	1441687165	0	28	28	27
Tue Sep 08 10:09:26 2015	1441687166	1	27	28	26
Tue Sep 08 10:09:27 2015	1441687167	1	28	29	27
Tue Sep 08 10:09:27 2015	1441687167	1	28	29	27
Tue Sep 08 10:09:26 2015	1441687166	1	28	29	27
Tue Sep 08 10:09:25 2015	1441687165	0	28	29	28
Tue Sep 08 10:09:26 2015	1441687166	1	28	29	27
Tue Sep 08 10:09:25 2015	1441687165	1	28	29	28
Tue Sep 08 10:09:27 2015	1441687167	1	28	29	27
Tue Sep 08 10:09:27 2015	1441687167	1	28	29	27
Tue Sep 08 10:09:25 2015	1441687165	1	28	29	28
Tue Sep 08 10:09:26 2015	1441687166	1	29	29	28
Tue Sep 08 10:09:24 2015	1441687164	1	29	29	28
Tue Sep 08 10:09:27 2015	1441687167	1	28	29	28
Tue Sep 08 10:09:25 2015	1441687165	1	29	29	28
Tue Sep 08 10:09:26 2015	1441687166	1	28	29	28
Tue Sep 08 10:09:26 2015	1441687166	1	29	29	28
Tue Sep 08 10:09:28 2015	1441687168	2	28	29	27
Tue Sep 08 10:09:26 2015	1441687166	2	28	30	27
Tue Sep 08 10:09:26 2015	1441687166	2	28	30	27
Tue Sep 08 10:09:26 2015	1441687166	2	28	30	27
Tue Sep 08 10:09:26 2015	1441687166	3	27	30	26
Tue Sep 08 10:09:27 2015	1441687167	1	29	30	28
Tue Sep 08 10:09:28 2015	1441687168	2	28	30	27
Tue Sep 08 10:09:25 2015	1441687165	2	28	30	28
Tue Sep 08 10:09:25 2015	1441687165	0	30	30	29
Tue Sep 08 10:09:26 2015	1441687166	1	29	30	28
Tue Sep 08 10:09:25 2015	1441687165	1	29	30	29
Tue Sep 08 10:09:27 2015	1441687167	1	30	30	29
Tue Sep 08 10:09:28 2015	1441687168	3	27	30	27
Tue Sep 08 10:09:27 2015	1441687167	0	30	30	28
Tue Sep 08 10:09:27 2015	1441687167	2	28	30	28
Tue Sep 08 10:09:25 2015	1441687165	1	30	30	29
Tue Sep 08 10:09:27 2015	1441687167	2	28	30	28
Tue Sep 08 10:09:25 2015	1441687165	1	29	30	29
Tue Sep 08 10:09:27 2015	1441687167	3	28	30	26
Tue Sep 08 10:09:25 2015	1441687165	1	29	30	29
Tue Sep 08 10:09:25 2015	1441687165	1	30	30	29
Tue Sep 08 10:09:25 2015	1441687165	2	29	31	28
Tue Sep 08 10:09:27 2015	1441687167	1	29	31	29
Tue Sep 08 10:09:27 2015	1441687167	1	30	31	29
Tue Sep 08 10:09:27 2015	1441687167	1	30	31	29
Tue Sep 08 10:09:25 2015	1441687165	1	29	31	29
Tue Sep 08 10:09:27 2015	1441687167	2	29	31	28
Tue Sep 08 10:09:27 2015	1441687167	2	29	31	28
Tue Sep 08 10:09:26 2015	1441687166	1	30	31	29
Tue Sep 08 10:09:26 2015	1441687166	1	31	31	30
Tue Sep 08 10:09:26 2015	1441687166	1	31	31	30
Tue Sep 08 10:09:25 2015	1441687165	0	31	31	30
Tue Sep 08 10:09:27 2015	1441687167	1	31	31	30
Tue Sep 08 10:09:25 2015	1441687165	1	31	32	30
Tue Sep 08 10:09:25 2015	1441687165	1	31	32	30
Tue Sep 08 10:09:25 2015	1441687165	1	31	32	30
Tue Sep 08 10:09:27 2015	1441687167	1	31	32	30
Tue Sep 08 10:09:26 2015	1441687166	2	30	32	29
Tue Sep 08 10:09:27 2015	1441687167	1	31	32	30
Tue Sep 08 10:09:27 2015	1441687167	1	31	32	30
Tue Sep 08 10:09:25 2015	1441687165	0	31	32	31
Tue Sep 08 10:09:26 2015	1441687166	1	31	32	30
Tue Sep 08 10:09:26 2015	1441687166	2	30	32	29
Tue Sep 08 10:09:24 2015	1441687164	1	31	32	30
Tue Sep 08 10:09:25 2015	1441687165	3	29	32	28
Tue Sep 08 10:09:26 2015	1441687166	1	31	32	31
Tue Sep 08 10:09:28 2015	1441687168	1	32	32	31
Tue Sep 08 10:09:25 2015	1441687165	1	32	32	31
Tue Sep 08 10:09:25 2015	1441687165	2	31	32	30
Tue Sep 08 10:09:25 2015	1441687165	1	32	32	31
Tue Sep 08 10:09:26 2015	1441687166	3	30	32	29
Tue Sep 08 10:09:26 2015	1441687166	1	31	32	30
Tue Sep 08 10:09:27 2015	1441687167	1	31	32	30
Tue Sep 08 10:09:25 2015	1441687165	3	29	32	29
Tue Sep 08 10:09:27 2015	1441687167	3	29	32	29
Tue Sep 08 10:09:27 2015	1441687167	1	31	33	31
Tue Sep 08 10:09:28 2015	1441687168	2	31	33	30
Tue Sep 08 10:09:26 2015	1441687166	0	32	33	31
Tue Sep 08 10:09:24 2015	1441687164	0	32	33	31
Tue Sep 08 10:09:27 2015	1441687167	1	31	33	30
Tue Sep 08 10:09:27 2015	1441687167	1	32	33	31
Tue Sep 08 10:09:27 2015	1441687167	1	32	33	32
Tue Sep 08 10:09:28 2015	1441687168	1	32	33	31
Tue Sep 08 10:09:25 2015	1441687165	3	30	33	30
Tue Sep 08 10:09:26 2015	1441687166	1	32	33	32
Tue Sep 08 10:09:26 2015	1441687166	1	32	33	32
Tue Sep 08 10:09:28 2015	1441687168	1	32	33	32
Tue Sep 08 10:09:26 2015	1441687166	1	32	33	32
Tue Sep 08 10:09:25 2015	1441687165	2	31	33	30
Tue Sep 08 10:09:25 2015	1441687165	1	32	33	31
Tue Sep 08 10:09:25 2015	1441687165	2	31	33	31
Tue Sep 08 10:09:28 2015	1441687168	1	32	33	31
Tue Sep 08 10:09:25 2015	1441687165	1	32	33	32
Tue Sep 08 10:09:26 2015	1441687166	3	31	33	30
